TRACT,Geographic Area Name_x,Poverty Level_Original_Value,Food Stamps_Original_Value,Disability under 5 years_Original_Value,Total population 5 years and over_Original_Value,Speak English less than very well_Original_Value,Other than english_Original_Value,Spanish_Original_Value,Indo-European languages_Original_Value,Asian and Pacific Island languages_Original_Value,Other languages_Original_Value,Naturalized U.S. citizen_Original_Value,Non U.S. citizen_Original_Value,Foster Children_Original_Value,Education Level (Highscool Degree Only or Below)_Original_Value,Pregancy_Original_Value,Low BirthWeights_Original_Value,Unemployment_Original_Value,Uninsured_Original_Value,Age below 5 Years_Original_Value,Population 0-5_Original_Value,Free Lunch Students_Original_Value,"Low Income Tract (1=yes, 0=no)_Original_Value",Food Dessert_Original_Value,No Vehicle_Original_Value,Zip Code_Original_Value,Divorced_Original_Value,Seperated_Original_Value,Unnamed: 0.1,Geographic Area Name_y,Zip Code,Poverty Level,Food Stamps,Disability under 5 years,Total population 5 years and over,Speak English less than very well,Other than english,Spanish,Indo-European languages,Asian and Pacific Island languages,Other languages,Naturalized U.S. citizen,Non U.S. citizen,Foster Children,Education Level (Highscool Degree Only or Below),Pregancy,Low BirthWeights,Unemployment,Uninsured,Divorced,Seperated,Age below 5 Years,Population 0-5,Free Lunch Students,"Low Income Tract (1=yes, 0=no)",Food Dessert,No Vehicle,Foreign Born & Disadvantaged,Income Constrained,ECS Screening,Key,Health Zone,Name
12031016725,"Census Tract 167.25, Duval County, Florida",436,101,0,3917,423,764,287,212,130,135,571,152,0,451,100,45,120,606,313,413,,1,1362.071633,184,32217,439.503,190.792,157,"Census Tract 167.25, Duval County, Florida",32217,22,21,1,36,49,39,29,47,27,78,64,25,1,29,100,40,25,58,35,68,34,36,,100,41,42,41,40,36,,3,167.25
12031016726,"Census Tract 167.26, Duval County, Florida",252,74,0,3786,381,931,476,352,60,43,152,466,0,394,73,18,83,508,228,301,404,0,182.7194659,133,32257,507.78,65.1,158,"Census Tract 167.26, Duval County, Florida",32257,12,16,1,35,44,47,48,78,13,25,18,74,1,25,35,16,17,48,41,24,25,26,50,0,6,30,37,14,20,,3,167.26
12031016727,"Census Tract 167.27, Duval County, Florida",197,9,0,3107,427,690,263,378,49,0,201,341,0,427,19,25,25,533,135,154,,1,291.3231478,300,32257,395.568,68.675,159,"Census Tract 167.27, Duval County, Florida",32257,10,3,1,29,49,35,27,84,11,1,23,54,1,27,10,22,4,51,31,25,15,13,,100,10,67,34,32,18,,3,167.27
12031016728,"Census Tract 167.28, Duval County, Florida",122,88,0,4410,395,1030,345,340,197,148,413,283,9,307,79,32,68,354,284,363,,0,595.4792161,5,32257,340.384,42.548,160,"Census Tract 167.28, Duval County, Florida",32257,6,18,1,41,46,52,35,75,40,85,46,45,10,19,37,28,13,33,26,16,31,32,,0,19,2,36,11,25,,3,167.28
12031016729,"Census Tract 167.29, Duval County, Florida",737,65,0,6141,431,1203,319,614,21,249,514,444,36,552,71,27,228,721,347,418,,0,918.3668348,60,32257,701.767,69.641,161,"Census Tract 167.29, Duval County, Florida",32257,37,14,1,56,50,60,32,100,5,100,57,70,37,36,34,24,48,69,58,26,38,37,,0,28,14,53,21,43,,3,167.29
12031016801,"Census Tract 168.01, Duval County, Florida",121,0,0,2315,100,299,76,117,84,22,228,55,0,123,16,2,78,185,63,79,,0,159.4852032,37,32223,233.1,8.4,162,"Census Tract 168.01, Duval County, Florida",32223,6,1,1,21,100,15,8,27,18,14,26,10,1,6,8,1,16,17,16,4,7,6,,0,6,9,9,2,6,,3,168.01
12031016803,"Census Tract 168.03, Duval County, Florida",346,67,0,6448,61,523,35,288,116,84,408,167,0,439,74,12,124,470,320,394,,0,574.6770396,19,32258,637.12,75.296,163,"Census Tract 168.03, Duval County, Florida",32258,17,14,1,59,8,26,4,64,24,49,46,27,1,28,35,10,26,45,52,28,35,35,,0,18,5,28,13,22,,3,168.03
12031016804,"Census Tract 168.04, Duval County, Florida",260,30,0,6792,139,429,162,157,39,71,370,41,19,327,66,24,152,215,401,467,,0,544.0683104,19,32223,524.664,0,164,"Census Tract 168.04, Duval County, Florida",32223,13,7,1,62,17,22,17,35,9,41,42,7,20,20,31,21,32,20,42,1,44,41,,0,17,5,20,10,20,,3,168.04
12031016805,"Census Tract 168.05, Duval County, Florida",373,21,0,6914,813,1618,534,161,684,239,1088,464,0,369,154,24,147,647,604,758,,0,851.5267402,39,32258,639.612,52.812,165,"Census Tract 168.05, Duval County, Florida",32258,19,5,1,63,93,81,53,36,100,100,100,73,1,23,72,21,31,62,52,20,66,68,,0,26,10,60,14,34,,3,168.05
12031016806,"Census Tract 168.06, Duval County, Florida",792,152,0,13103,877,2386,321,1129,705,231,1216,707,12,616,563,76,348,1433,1489,2052,,0,2052.316905,73,32258,1591.064,35.097,166,"Census Tract 168.06, Duval County, Florida",32258,40,31,1,100,100,100,32,100,100,100,100,100,13,40,100,68,74,100,100,13,100,100,,0,62,17,86,37,58,,3,168.06
12031016807,"Census Tract 168.07, Duval County, Florida",743,30,0,3875,435,942,340,350,199,53,469,393,6,284,47,26,33,422,279,326,,0,1121.218518,97,32258,472.899,22.519,167,"Census Tract 168.07, Duval County, Florida",32258,38,7,1,36,50,47,34,78,41,31,52,62,7,17,23,23,6,40,37,9,31,28,,0,34,22,39,20,22,,3,168.07
12031016808,"Census Tract 168.08, Duval County, Florida",316,67,0,3416,324,804,409,228,167,0,322,214,11,297,37,13,76,480,130,167,,0,676.9670106,67,32223,538.074,66.132,168,"Census Tract 168.08, Duval County, Florida",32223,16,14,1,31,38,41,41,51,34,1,36,34,12,18,18,11,15,46,43,24,14,14,,0,21,16,29,14,18,,3,168.08
12031017100,"Census Tract 171, Duval County, Florida",1065,74,0,5671,143,369,257,99,13,0,143,158,12,600,54,14,179,468,212,266,225,0,726.0915539,655,32204,805.19,49.635,169,"Census Tract 171, Duval County, Florida",32204,54,16,1,52,17,19,26,23,4,1,17,26,13,39,26,12,38,45,67,19,23,23,28,0,23,100,24,36,27,,1,171
12031017200,"Census Tract 172, Duval County, Florida",847,34,0,1901,62,254,49,64,141,0,134,150,0,284,7,7,65,447,116,123,,1,966.0398018,427,32205,461.264,72.64,170,"Census Tract 172, Duval County, Florida",32205,43,8,1,18,8,13,6,15,29,1,16,24,1,17,4,6,13,42,36,27,13,10,,100,30,96,18,43,22,,4,172
12031017300,"Census Tract 173, Duval County, Florida",984,199,0,6414,86,220,134,74,3,9,323,257,41,1028,79,49,188,489,406,485,542,0,0,193,32220,865.018,123.574,171,"Census Tract 173, Duval County, Florida",32220,50,40,1,59,11,11,14,17,2,6,36,41,42,69,37,44,40,47,72,45,44,43,67,0,1,44,40,33,43,,5,173
12031017400,"Census Tract 174, Duval County, Florida",1009,140,0,2302,40,115,38,49,0,28,0,29,19,542,59,51,180,383,158,217,51,1,2077.743683,291,32202,226.78,146.625,172,"Census Tract 174, Duval County, Florida",32202,51,28,1,21,6,6,5,12,1,17,1,6,20,35,28,46,38,36,16,53,17,18,7,100,63,65,20,53,34,,1,174
