TRACT,Geographic Area Name_x,Poverty Level_Original_Value,Food Stamps_Original_Value,Disability under 5 years_Original_Value,Total population 5 years and over_Original_Value,Speak English less than very well_Original_Value,Other than english_Original_Value,Spanish_Original_Value,Indo-European languages_Original_Value,Asian and Pacific Island languages_Original_Value,Other languages_Original_Value,Naturalized U.S. citizen_Original_Value,Non U.S. citizen_Original_Value,Foster Children_Original_Value,Education Level (Highscool Degree Only or Below)_Original_Value,Pregancy_Original_Value,Low BirthWeights_Original_Value,Unemployment_Original_Value,Uninsured_Original_Value,Age below 5 Years_Original_Value,Population 0-5_Original_Value,Free Lunch Students_Original_Value,"Low Income Tract (1=yes, 0=no)_Original_Value",Food Dessert_Original_Value,No Vehicle_Original_Value,Zip Code_Original_Value,Divorced_Original_Value,Seperated_Original_Value,Unnamed: 0.1,Geographic Area Name_y,Zip Code,Poverty Level,Food Stamps,Disability under 5 years,Total population 5 years and over,Speak English less than very well,Other than english,Spanish,Indo-European languages,Asian and Pacific Island languages,Other languages,Naturalized U.S. citizen,Non U.S. citizen,Foster Children,Education Level (Highscool Degree Only or Below),Pregancy,Low BirthWeights,Unemployment,Uninsured,Divorced,Seperated,Age below 5 Years,Population 0-5,Free Lunch Students,"Low Income Tract (1=yes, 0=no)",Food Dessert,No Vehicle,Foreign Born & Disadvantaged,Income Constrained,ECS Screening,Key,Health Zone,Name
12031013902,"Census Tract 139.02, Duval County, Florida",574,194,0,5111,61,428,184,87,157,0,181,101,0,715,88,19,132,767,241,329,,0,1141.626734,275,32225,695.204,115.1,85,"Census Tract 139.02, Duval County, Florida",32225,29,39,1,47,8,22,19,20,32,1,21,17,1,47,42,16,27,74,57,42,26,29,,0,35,62,32,33,27,,2,139.02
12031013904,"Census Tract 139.04, Duval County, Florida",563,138,0,4109,117,412,126,68,203,15,303,66,68,438,29,41,113,722,279,308,,1,2041.063166,182,32233,726.18,130.34,86,"Census Tract 139.04, Duval County, Florida",32233,28,28,1,38,14,21,13,16,41,10,34,11,100,28,14,36,23,69,60,47,31,27,,100,62,41,32,46,46,,6,139.04
12031013905,"Census Tract 139.05, Duval County, Florida",176,0,10,4050,9,150,55,65,24,6,132,32,0,99,0,11,26,167,93,93,,0,398.1735908,9,32233,584.496,18.04,87,"Census Tract 139.05, Duval County, Florida",32233,8,1,100,37,2,8,6,15,6,4,15,6,1,4,1,9,4,15,47,7,10,7,,0,13,3,7,4,20,,6,139.05
12031013906,"Census Tract 139.06, Duval County, Florida",212,12,0,4326,182,340,182,35,108,15,211,35,0,177,0,12,72,175,156,156,113,0,660.3352848,24,32218,458.896,87.032,88,"Census Tract 139.06, Duval County, Florida",32218,10,3,1,40,22,17,19,9,23,10,24,6,1,10,1,10,14,16,36,32,17,13,14,0,21,6,12,7,8,,5,139.06
12031014001,"Census Tract 140.01, Duval County, Florida",630,0,0,4501,48,273,145,107,0,21,157,47,165,267,20,12,170,402,150,170,505,0,760.9528584,107,32266,442.104,0,89,"Census Tract 140.01, Duval County, Florida",32266,32,1,1,41,6,14,15,24,1,13,18,8,100,16,10,10,36,38,35,1,17,14,62,0,24,25,15,16,29,,6,140.01
12031014002,"Census Tract 140.02, Duval County, Florida",99,29,0,2279,0,103,24,60,0,19,50,34,9,63,33,5,35,168,150,183,,0,246.684481,26,32233,201.663,35.343,90,"Census Tract 140.02, Duval County, Florida",32233,5,7,1,21,1,6,3,14,1,12,6,6,10,2,16,4,6,15,13,13,17,15,,0,8,7,3,4,6,,6,140.02
12031014101,"Census Tract 141.01, Duval County, Florida",319,0,0,4483,34,325,187,96,42,0,171,101,146,269,85,19,98,248,212,297,,0,270.7423347,40,32250,499.11,11.79,91,"Census Tract 141.01, Duval County, Florida",32250,16,1,1,41,5,17,19,22,9,1,20,17,100,16,40,16,20,23,40,5,23,26,,0,9,10,16,8,25,,6,141.01
12031014102,"Census Tract 141.02, Duval County, Florida",191,0,0,4016,46,147,15,131,1,0,105,50,0,242,52,19,34,201,24,76,394,0,776.7524955,88,32216,898.162,101.466,92,"Census Tract 141.02, Duval County, Florida",32216,9,1,1,37,6,8,2,30,1,1,13,9,1,14,25,16,6,19,75,37,3,6,49,0,24,20,10,10,13,,2,141.02
12031014202,"Census Tract 142.02, Duval County, Florida",747,34,0,4358,174,467,238,168,0,61,254,212,24,481,41,19,170,546,222,263,,1,556.6736089,206,32250,869.82,120.118,93,"Census Tract 142.02, Duval County, Florida",32250,38,8,1,40,21,24,24,38,1,36,29,34,25,31,20,16,36,52,73,43,24,23,,100,18,47,29,34,34,,6,142.02
12031014203,"Census Tract 142.03, Duval County, Florida",180,0,0,4609,49,271,68,203,0,0,150,73,129,61,24,6,78,370,158,182,,0,287.6023018,161,32250,559.986,75.222,94,"Census Tract 142.03, Duval County, Florida",32250,9,1,1,42,7,14,8,45,1,1,17,12,100,1,12,5,16,35,45,28,17,15,,0,10,37,12,8,25,,6,142.03
12031014204,"Census Tract 142.04, Duval County, Florida",147,0,0,4713,39,429,35,300,94,0,270,195,24,161,110,17,49,71,408,518,,0,870.0313678,68,32250,363.66,71.06,95,"Census Tract 142.04, Duval County, Florida",32250,7,1,1,43,5,22,4,67,20,1,31,31,25,8,52,15,9,6,28,26,44,46,,0,27,16,17,8,13,,6,142.04
12031014311,"Census Tract 143.11, Duval County, Florida",1000,376,0,5040,469,1257,938,208,80,31,244,325,0,837,110,45,269,958,209,319,347,1,1838.918692,84,32225,658.144,176.064,96,"Census Tract 143.11, Duval County, Florida",32225,51,75,1,46,54,63,93,47,17,19,28,52,1,56,52,40,57,92,54,63,23,28,43,100,56,20,55,58,48,,2,143.11
12031014312,"Census Tract 143.12, Duval County, Florida",1240,177,0,6257,641,1440,963,94,323,60,631,428,0,624,215,35,150,590,636,851,85,0,1633.343336,35,32224,641.842,136.786,97,"Census Tract 143.12, Duval County, Florida",32224,63,36,1,57,73,72,95,22,65,35,70,68,1,41,100,31,31,56,52,49,69,77,11,0,50,9,56,34,39,,2,143.12
12031014326,"Census Tract 143.26, Duval County, Florida",457,66,0,7367,333,1264,241,419,604,0,624,303,122,506,196,36,170,422,615,811,,0,1000.120631,58,32224,573.848,117.378,98,"Census Tract 143.26, Duval County, Florida",32224,23,14,1,68,39,64,25,93,100,1,69,48,100,33,91,32,36,40,46,42,67,73,,0,31,14,47,20,41,,2,143.26
12031014328,"Census Tract 143.28, Duval County, Florida",325,0,0,6573,152,1281,240,430,439,172,745,248,95,452,82,27,161,513,647,729,,0,1180.765468,31,32225,816.96,27.6,99,"Census Tract 143.28, Duval County, Florida",32225,16,1,1,60,18,64,25,95,88,99,83,40,100,29,39,24,34,49,68,11,70,65,,0,36,8,47,16,46,,2,143.28
12031014329,"Census Tract 143.29, Duval County, Florida",31,0,0,3006,102,496,221,53,222,0,278,167,0,100,109,7,40,62,247,356,,0,117.772552,0,32225,323.02,13.025,100,"Census Tract 143.29, Duval County, Florida",32225,1,1,1,28,13,25,23,13,45,1,32,27,1,100,51,6,7,5,24,6,27,31,,0,5,1,30,10,15,,2,143.29
12031014330,"Census Tract 143.30, Duval County, Florida",301,16,0,4587,49,494,22,290,88,94,339,60,0,264,27,15,75,157,173,200,,0,483.5790816,9,32225,249.736,32.224,101,"Census Tract 143.30, Duval County, Florida",32225,15,4,1,42,7,25,3,65,19,54,38,10,1,16,13,13,15,14,18,12,19,17,,0,15,3,17,8,15,,2,143.3
12031014331,"Census Tract 143.31, Duval County, Florida",731,118,0,4520,510,902,786,55,61,0,302,420,0,611,39,34,53,569,348,387,,0,1465.391765,186,32224,522.58,10.812,102,"Census Tract 143.31, Duval County, Florida",32224,37,24,1,42,59,45,78,13,13,1,34,66,1,40,19,30,10,54,42,5,38,34,,0,45,42,44,32,25,,2,143.31
12031014332,"Census Tract 143.32, Duval County, Florida",535,37,83,7960,259,900,408,228,264,0,672,340,0,686,110,44,252,499,720,830,271,0,873.9201688,240,32224,761.94,190.485,103,"Census Tract 143.32, Duval County, Florida",32224,27,8,100,73,30,45,41,51,54,1,75,54,1,45,52,39,53,48,63,68,78,75,34,0,27,54,50,26,46,,2,143.32
12031014333,"Census Tract 143.33, Duval County, Florida",163,13,0,3234,98,222,181,18,0,23,199,46,11,335,25,23,117,394,149,174,,0,440.9151542,13,32225,402.002,45.296,104,"Census Tract 143.33, Duval County, Florida",32225,8,4,1,30,12,11,19,5,1,14,23,8,12,21,13,20,24,37,31,17,16,14,,0,14,4,18,8,13,,2,143.33
12031014334,"Census Tract 143.34, Duval County, Florida",440,81,13,4488,173,647,275,161,185,26,315,125,0,314,68,21,106,298,336,404,,0,1102.280852,23,32225,465,100.44,105,"Census Tract 143.34, Duval County, Florida",32225,22,17,100,41,21,33,28,36,38,16,36,20,1,19,32,18,22,28,37,37,37,36,,0,34,6,24,16,34,,2,143.34
12031014335,"Census Tract 143.35, Duval County, Florida",535,70,0,7845,444,1397,508,347,542,0,911,258,58,721,50,35,243,183,416,466,,0,1084.842487,53,32225,858.417,76.769,106,"Census Tract 143.35, Duval County, Florida",32225,27,15,1,72,51,70,51,77,100,1,100,41,58,48,24,31,51,17,72,28,45,41,,0,33,13,50,21,41,,2,143.35
12031014336,"Census Tract 143.36, Duval County, Florida",356,74,0,6890,583,1993,311,367,929,386,1089,333,0,850,29,38,252,448,316,345,282,0,1660.758312,19,32225,451.698,23.164,107,"Census Tract 143.36, Duval County, Florida",32225,18,16,1,63,67,100,31,81,100,100,100,53,1,57,14,34,53,43,36,9,35,30,35,0,50,5,64,23,36,,2,143.36
12031014337,"Census Tract 143.37, Duval County, Florida",1484,216,0,9584,1261,2887,626,664,1377,220,1738,945,11,923,182,59,303,634,605,787,,0,2300.622405,67,32225,995.764,171.402,108,"Census Tract 143.37, Duval County, Florida",32225,76,43,1,88,100,100,62,100,100,100,100,100,12,62,85,53,65,61,84,62,66,71,,0,69,16,80,46,67,,2,143.37
12031014338,"Census Tract 143.38, Duval County, Florida",552,145,0,4163,461,1155,658,111,356,30,427,297,272,405,15,44,89,527,253,268,,0,1183.204209,56,32225,692.566,79.772,109,"Census Tract 143.38, Duval County, Florida",32225,28,29,1,38,53,58,65,25,72,18,48,47,100,26,8,39,18,50,57,29,28,23,,0,36,13,44,24,43,,2,143.38
12031014401,"Census Tract 144.01, Duval County, Florida",2272,237,0,12904,2235,4213,3053,316,639,205,1045,2852,28,1301,163,122,499,1999,710,873,,1,4143.865047,164,32246,1699.002,314.199,110,"Census Tract 144.01, Duval County, Florida",32246,100,47,1,100,100,100,100,70,100,100,100,100,29,88,76,100,100,100,100,100,77,79,,100,100,37,100,80,91,,2,144.01
12031014404,"Census Tract 144.04, Duval County, Florida",305,27,0,8854,435,1764,891,526,267,80,798,480,0,339,91,27,356,633,271,362,,0,3215.351338,37,32224,591.336,238.177,111,"Census Tract 144.04, Duval County, Florida",32224,15,6,1,81,50,89,88,100,54,47,89,76,1,21,43,24,76,61,48,85,30,32,,0,97,9,60,26,36,,2,144.04
12031014406,"Census Tract 144.06, Duval County, Florida",301,12,18,7182,470,1414,239,631,443,101,892,388,0,307,38,31,85,280,397,435,,0,696.8788854,13,32256,651.984,31.96,112,"Census Tract 144.06, Duval County, Florida",32256,15,3,100,66,54,71,24,100,89,58,99,61,1,19,18,27,17,26,53,12,43,38,,0,22,4,49,11,41,,3,144.06
12031014408,"Census Tract 144.08, Duval County, Florida",523,149,0,4289,276,622,500,28,87,7,326,181,0,368,59,25,80,299,294,353,,0,1279.323669,113,32224,400.466,58.784,113,"Census Tract 144.08, Duval County, Florida",32224,26,30,1,39,32,31,50,7,18,5,37,29,1,23,28,22,16,28,31,22,32,31,,0,39,26,26,24,20,,2,144.08
12031014409,"Census Tract 144.09, Duval County, Florida",836,105,0,11129,548,1791,620,528,585,58,1036,371,18,571,109,54,249,1007,824,933,654,0,870.8882326,64,32224,876.09,82.998,114,"Census Tract 144.09, Duval County, Florida",32224,42,22,1,100,63,90,62,100,100,34,100,59,19,37,51,48,53,97,73,30,89,84,81,0,27,15,73,27,41,,2,144.09
12031014410,"Census Tract 144.10, Duval County, Florida",405,38,0,7538,172,633,160,265,208,0,561,241,0,273,224,38,197,410,364,588,,0,730.8873753,187,32250,969.397,135.58,115,"Census Tract 144.10, Duval County, Florida",32250,20,8,1,69,20,32,17,59,42,1,63,39,1,16,100,34,41,39,82,49,40,53,,0,23,42,36,18,25,,6,144.1
12031014411,"Census Tract 144.11, Duval County, Florida",596,14,0,7165,664,1596,608,756,145,87,574,961,0,422,158,53,130,444,414,572,,0,1545.075833,68,32256,1177.104,32.88,116,"Census Tract 144.11, Duval County, Florida",32256,30,4,1,66,76,80,61,100,30,50,64,100,1,27,74,47,27,42,100,13,45,51,,0,47,16,60,23,34,,3,144.11
12031014412,"Census Tract 144.12, Duval County, Florida",790,125,0,17178,1111,4620,1282,2039,1014,285,2193,1470,45,861,286,80,201,599,1627,1913,1027,0,0,38,32258,1260.846,14.661,117,"Census Tract 144.12, Duval County, Florida",32258,40,26,1,100,100,100,100,100,100,100,100,100,46,58,100,72,42,57,100,6,100,100,100,0,1,9,82,26,58,,3,144.12
12031014413,"Census Tract 144.13, Duval County, Florida",377,53,0,5291,527,1367,452,403,338,174,779,320,24,190,81,28,78,379,187,268,,0,1346.363169,43,32256,626.22,67.095,118,"Census Tract 144.13, Duval County, Florida",32256,19,11,1,49,60,69,45,89,68,100,86,51,25,10,38,25,16,36,51,25,21,23,,0,41,11,45,17,34,,3,144.13
12031014500,"Census Tract 145, Duval County, Florida",435,122,0,3727,279,904,352,394,133,25,649,266,11,580,29,39,160,511,164,193,,1,1390.762415,100,32246,588.348,39.888,119,"Census Tract 145, Duval County, Florida",32246,22,25,1,34,32,46,36,87,27,15,72,42,12,38,14,35,33,49,48,15,18,16,,100,42,100,46,49,36,,2,145
12031014601,"Census Tract 146.01, Duval County, Florida",329,27,0,5442,170,405,244,86,75,0,211,124,10,360,27,26,180,335,182,209,,0,0,16,32225,691.056,86.382,120,"Census Tract 146.01, Duval County, Florida",32225,16,6,1,50,20,21,25,20,16,1,24,20,11,22,13,23,38,32,57,32,20,18,,0,1,5,22,8,18,,2,146.01
12031014603,"Census Tract 146.03, Duval County, Florida",544,195,0,4630,437,962,526,204,71,161,515,171,89,785,88,56,155,370,573,661,,1,541.8783355,18,32225,603.003,64.752,121,"Census Tract 146.03, Duval County, Florida",32225,27,39,1,43,50,48,53,46,15,93,58,28,100,52,42,50,32,35,49,24,62,59,,100,17,5,44,37,58,,2,146.03
12031014604,"Census Tract 146.04, Duval County, Florida",793,225,0,4704,555,1170,528,194,358,90,289,736,0,437,141,56,227,677,488,629,,1,125.8413352,217,32225,503.844,79.116,122,"Census Tract 146.04, Duval County, Florida",32225,40,45,1,43,64,59,53,43,72,52,33,100,1,28,66,50,48,65,40,29,53,56,,100,5,49,56,43,43,,2,146.04
12031014701,"Census Tract 147.01, Duval County, Florida",804,397,0,7958,155,1113,697,245,76,95,568,207,0,902,175,99,162,580,659,834,,1,2810.695268,115,32277,1039.272,99.93,123,"Census Tract 147.01, Duval County, Florida",32277,41,79,1,73,18,56,69,55,16,55,63,33,1,60,82,89,34,55,88,36,72,75,,100,85,26,59,67,58,,2,147.01
12031014702,"Census Tract 147.02, Duval County, Florida",413,132,0,2779,176,540,120,86,127,207,236,183,10,196,43,22,97,275,259,302,,1,657.8355504,67,32277,270.02,96.268,124,"Census Tract 147.02, Duval County, Florida",32277,21,27,1,26,21,27,13,20,26,100,27,29,11,11,21,19,20,26,19,35,28,26,,100,21,16,21,29,32,,2,147.02
12031014800,"Census Tract 148, Duval County, Florida",1036,310,28,4805,274,666,280,94,222,70,170,390,33,612,41,43,314,541,446,487,,1,1810.902015,226,32277,451.568,104.208,125,"Census Tract 148, Duval County, Florida",32277,53,62,100,44,32,34,28,22,45,41,20,62,34,40,20,38,67,52,36,38,49,43,,100,55,51,40,58,67,,2,148
12031014901,"Census Tract 149.01, Duval County, Florida",775,259,0,5948,368,1030,583,101,332,14,278,443,29,737,83,50,327,696,462,545,,0,519.6741669,109,32277,697.585,78.675,126,"Census Tract 149.01, Duval County, Florida",32277,39,52,1,55,43,52,58,23,67,9,32,70,30,49,39,45,70,67,57,29,50,49,,0,16,25,52,32,43,,2,149.01
12031014902,"Census Tract 149.02, Duval County, Florida",589,338,0,6346,417,1296,549,353,273,121,744,423,39,393,151,86,237,694,612,763,292,0,1344.393161,131,32277,666.995,190.57,127,"Census Tract 149.02, Duval County, Florida",32277,30,67,1,58,48,65,55,78,55,70,83,67,40,25,71,77,50,66,55,68,66,69,36,0,41,30,64,39,55,,2,149.02
12031015001,"Census Tract 150.01, Duval County, Florida",974,212,9,5028,343,843,541,68,217,17,188,264,77,1113,161,32,176,964,536,697,583,0,961.4975926,166,32211,370.927,62.566,128,"Census Tract 150.01, Duval County, Florida",32211,50,43,100,46,40,42,54,16,44,11,22,42,100,75,75,28,37,93,28,23,58,63,72,0,30,38,49,39,65,,2,150.01
12031015002,"Census Tract 150.02, Duval County, Florida",505,119,0,4233,86,351,283,62,6,0,198,142,20,306,18,29,208,535,339,357,,0,1157.458447,66,32211,316.296,48.132,129,"Census Tract 150.02, Duval County, Florida",32211,25,24,1,39,11,18,29,15,2,1,23,23,21,19,9,26,44,51,24,18,37,31,,0,35,16,25,21,22,,2,150.02
12031015100,"Census Tract 151, Duval County, Florida",466,219,0,3815,337,763,721,0,42,0,275,246,85,559,99,29,155,661,497,596,,0,1446.704782,144,32211,617.162,67.82,130,"Census Tract 151, Duval County, Florida",32211,23,44,1,35,39,38,72,1,9,1,31,39,100,36,47,26,32,63,50,25,54,53,,0,44,33,38,30,43,,2,151
12031015200,"Census Tract 152, Duval County, Florida",517,103,0,2669,247,767,639,17,12,99,195,256,0,450,32,46,50,566,229,261,,1,171.3474743,148,32211,464,197.2,131,"Census Tract 152, Duval County, Florida",32211,26,21,1,25,29,39,64,5,3,57,22,41,1,29,16,41,9,54,37,71,25,22,,100,6,34,37,33,32,,2,152
12031015300,"Census Tract 153, Duval County, Florida",449,193,0,2738,65,248,120,12,13,103,183,98,82,466,21,20,268,439,477,498,,1,1057.770289,282,32211,409.53,136.51,132,"Census Tract 153, Duval County, Florida",32211,23,39,1,25,8,13,13,4,4,60,21,16,100,30,11,17,57,42,32,49,52,44,,100,32,63,21,42,50,,2,153
